location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
34,49,M1,560.992,2,2,1,0,3,6.5,720,0.675,0.45,0.137904
36,50,M1,601.349,2,2,1,0,5,6.5,720,0.675,0.45,0.137904
54,62,M2,648.67,1,2,1,0,4,0,720,0.675,0.45,0.137904
56,54,M2,639.901,0,2,1,0,5,0,720,0.675,0.45,0.137904
92,10,M2,700.925,0,2,1,1,6,0,720,0.675,0.45,0.137904
55,68,M2,565.86,0,2,1,0,1,0,720,0.675,0.45,0.137904
41,59,M2,490.555,0,2,1,0,0,0,720,0.675,0.45,0.137904
4,84,M2,465.058,0,2,1,1,5,0,720,0.675,0.45,0.137904
50,67,M1,608.986,2,2,1,0,2,4.5,720,0.675,0.45,0.137904
95,72,M2,655.949,0,2,1,1,5,0,720,0.675,0.45,0.137904
73,5,M2,706.461,0,2,1,1,1,0,720,0.675,0.45,0.137904
69,41,M2,700.435,0,2,1,0,6,0,720,0.675,0.45,0.137904
72,57,M2,477.091,0,2,1,0,6,0,720,0.675,0.45,0.137904
24,18,M2,625.421,0,2,1,1,0,0,720,0.675,0.45,0.137904
48,61,M2,590.025,1,2,1,0,3,0,720,0.675,0.45,0.137904
70,81,M2,582.637,0,2,1,1,4,0,720,0.675,0.45,0.137904
97,8,M2,662.407,0,2,1,1,5,0,720,0.675,0.45,0.137904
51,35,M1,637.467,2,2,1,0,5,3.5,720,0.675,0.45,0.137904
3,96,M2,505.769,0,2,1,1,2,0,720,0.675,0.45,0.137904
62,46,M2,606.919,1,2,1,0,2,0,720,0.675,0.45,0.137904
73,92,M2,496.542,0,2,1,1,5,0,720,0.675,0.45,0.137904
50,29,M2,465.746,0,2,1,0,2,0,720,0.675,0.45,0.137904
67,66,M2,448.721,0,2,1,1,0,0,720,0.675,0.45,0.137904
33,36,M2,494.339,0,2,1,0,1,0,720,0.675,0.45,0.137904
62,68,M2,598.845,0,2,1,0,2,0,720,0.675,0.45,0.137904
91,19,M2,678.23,0,2,1,1,2,0,720,0.675,0.45,0.137904
44,29,M2,493.052,0,2,1,0,4,0,720,0.675,0.45,0.137904
31,52,M1,481.416,2,2,1,0,2,1.5,720,0.675,0.45,0.137904
68,40,M2,658.434,0,2,1,0,4,0,720,0.675,0.45,0.137904
38,41,M1,573.79,2,2,1,0,5,10,720,0.675,0.45,0.137904
32,38,M2,660.804,0,2,1,0,4,0,720,0.675,0.45,0.137904
64,65,M2,513.802,0,2,1,0,1,0,720,0.675,0.45,0.137904
67,43,M2,502.352,0,2,1,0,4,0,720,0.675,0.45,0.137904
53,38,M2,535.252,1,2,1,0,2,0,720,0.675,0.45,0.137904
67,34,M2,514.691,0,2,1,1,6,0,720,0.675,0.45,0.137904
80,1,M2,472.758,0,2,1,1,0,0,720,0.675,0.45,0.137904
34,35,M2,588.74,0,2,1,0,2,0,720,0.675,0.45,0.137904
18,12,M2,667.253,0,2,1,1,2,0,720,0.675,0.45,0.137904
4,20,M2,379.51,0,2,1,1,3,0,720,0.675,0.45,0.137904
26,16,M2,654.749,0,2,1,1,1,0,720,0.675,0.45,0.137904
70,49,M2,508,0,2,1,0,1,0,720,0.675,0.45,0.137904
30,40,M2,480.062,0,2,1,1,2,0,720,0.675,0.45,0.137904
92,5,M2,539.981,0,2,1,1,6,0,720,0.675,0.45,0.137904
46,30,M2,699.71,0,2,1,0,1,0,720,0.675,0.45,0.137904
4,27,M2,665.511,0,2,1,1,3,0,720,0.675,0.45,0.137904
54,11,M2,587.841,0,2,1,1,5,0,720,0.675,0.45,0.137904
71,68,M2,486.898,0,2,1,1,4,0,720,0.675,0.45,0.137904
69,45,M2,471.139,0,2,1,1,3,0,720,0.675,0.45,0.137904
24,76,M2,588.577,0,2,1,1,6,0,720,0.675,0.45,0.137904
56,66,M2,473.139,0,2,1,0,6,0,720,0.675,0.45,0.137904
6,17,M2,659.493,0,2,1,1,0,0,720,0.675,0.45,0.137904
56,9,M2,380.397,0,2,1,1,1,0,720,0.675,0.45,0.137904
34,67,M2,663.69,0,2,1,0,5,0,720,0.675,0.45,0.137904
53,30,M2,673.228,0,2,1,0,3,0,720,0.675,0.45,0.137904
44,30,M2,461.78,0,2,1,0,2,0,720,0.675,0.45,0.137904
93,55,M2,467.007,0,2,1,1,0,0,720,0.675,0.45,0.137904
34,38,M2,444.69,0,2,1,0,5,0,720,0.675,0.45,0.137904
47,69,M2,614.561,0,2,1,0,4,0,720,0.675,0.45,0.137904
87,1,M2,682.095,0,2,1,1,3,0,720,0.675,0.45,0.137904
14,7,M2,607.033,0,2,1,1,2,0,720,0.675,0.45,0.137904
8,5,M2,448.019,0,2,1,1,1,0,720,0.675,0.45,0.137904
40,65,M2,567.683,0,2,1,0,1,0,720,0.675,0.45,0.137904
44,69,M2,434.43,0,2,1,1,3,0,720,0.675,0.45,0.137904
50,69,M2,486.136,0,2,1,1,3,0,720,0.675,0.45,0.137904
36,69,M2,480.343,0,2,1,1,3,0,720,0.675,0.45,0.137904
49,70,M2,336.775,0,2,1,0,6,0,720,0.675,0.45,0.137904
20,26,M2,340.825,0,2,1,1,1,0,720,0.675,0.45,0.137904
53,71,M2,406.704,0,2,1,1,3,0,720,0.675,0.45,0.137904
13,7,M2,599.967,0,2,1,1,2,0,720,0.675,0.45,0.137904
65,51,M2,646.083,1,2,1,0,4,0,720,0.675,0.45,0.137904
58,34,M1,519.8,0,2,1,0,6,0,720,0.675,0.45,0.137904
75,87,M2,643.065,0,2,1,1,5,0,720,0.675,0.45,0.137904
67,38,M2,667.057,0,2,1,0,6,0,720,0.675,0.45,0.137904
70,56,M1,477.512,0,2,1,0,0,0,720,0.675,0.45,0.137904
40,89,M2,390.737,0,2,1,1,1,0,720,0.675,0.45,0.137904
93,69,M1,419.481,0,2,1,1,5,0,720,0.675,0.45,0.137904
65,14,M2,448.333,0,2,1,1,6,0,720,0.675,0.45,0.137904
88,80,M2,708.236,0,2,1,1,2,0,720,0.675,0.45,0.137904
83,95,M2,648.683,0,2,1,1,5,0,720,0.675,0.45,0.137904
48,69,M2,357.272,0,2,1,0,2,0,720,0.675,0.45,0.137904
54,33,M2,615.656,0,2,1,0,5,0,720,0.675,0.45,0.137904
93,10,M2,534.489,0,2,1,1,1,0,720,0.675,0.45,0.137904
76,87,M2,423.871,0,2,1,1,5,0,720,0.675,0.45,0.137904
76,9,M2,441.328,0,2,1,1,3,0,720,0.675,0.45,0.137904
21,20,M2,436.964,0,2,1,1,2,0,720,0.675,0.45,0.137904
61,30,M2,317.045,0,2,1,0,2,0,720,0.675,0.45,0.137904
69,51,M2,567.195,0,2,1,0,3,0,720,0.675,0.45,0.137904
49,33,M1,644.899,2,2,1,0,6,9.5,720,0.675,0.45,0.137904
72,2,M2,453.952,0,2,1,1,1,0,720,0.675,0.45,0.137904
38,69,M2,479.168,0,2,1,1,1,0,720,0.675,0.45,0.137904
61,46,M2,460.317,1,2,1,0,1,0,720,0.675,0.45,0.137904
29,60,M2,521.815,1,2,1,0,1,0,720,0.675,0.45,0.137904
67,39,M2,510.667,0,2,1,0,1,0,720,0.675,0.45,0.137904
43,65,M2,464.064,0,2,1,0,4,0,720,0.675,0.45,0.137904
66,34,M2,604.655,0,2,1,1,6,0,720,0.675,0.45,0.137904
95,93,M2,651.752,0,2,1,1,1,0,720,0.675,0.45,0.137904
29,52,M2,467.82,0,2,1,0,3,0,720,0.675,0.45,0.137904
16,96,M2,356.617,0,2,1,1,2,0,720,0.675,0.45,0.137904
41,30,M2,624.214,0,2,1,0,2,0,720,0.675,0.45,0.137904
47,30,M2,631.885,0,2,1,0,1,0,720,0.675,0.45,0.137904
65,66,M2,513.87,0,2,1,0,4,0,720,0.675,0.45,0.137904
31,56,M1,269.362,2,2,1,0,5,0.5,720,0.675,0.45,0.137904
56,69,M2,648.748,0,2,1,1,0,0,720,0.675,0.45,0.137904
70,48,M2,383.496,0,2,1,0,1,0,720,0.675,0.45,0.137904
28,63,M2,693.306,0,2,1,1,3,0,720,0.675,0.45,0.137904
17,84,M2,657.246,0,2,1,1,0,0,720,0.675,0.45,0.137904
55,67,M2,361.256,0,2,1,0,0,0,720,0.675,0.45,0.137904
63,60,M2,487.495,1,2,1,0,4,0,720,0.675,0.45,0.137904
20,53,M2,423.466,0,2,1,1,4,0,720,0.675,0.45,0.137904
26,18,M2,564.871,0,2,1,1,1,0,720,0.675,0.45,0.137904
34,43,M2,246.16,1,2,1,0,0,0,720,0.675,0.45,0.137904
32,37,M2,310.98,1,2,1,0,5,0,720,0.675,0.45,0.137904
15,80,M2,378.313,0,2,1,1,2,0,720,0.675,0.45,0.137904
37,75,M2,371.895,0,2,1,1,2,0,720,0.675,0.45,0.137904
38,30,M2,313.944,0,2,1,1,0,0,720,0.675,0.45,0.137904
34,17,M2,676.959,0,2,1,1,1,0,720,0.675,0.45,0.137904
23,43,M2,696.053,0,2,1,1,4,0,720,0.675,0.45,0.137904
42,28,M2,287.967,0,2,1,1,3,0,720,0.675,0.45,0.137904
70,54,M2,434.074,0,2,1,0,2,0,720,0.675,0.45,0.137904
62,31,M2,452.647,0,2,1,0,2,0,720,0.675,0.45,0.137904
33,39,M2,606.542,0,2,1,0,2,0,720,0.675,0.45,0.137904
18,21,M2,384.617,0,2,1,1,0,0,720,0.675,0.45,0.137904
97,15,M2,268.701,0,2,1,1,1,0,720,0.675,0.45,0.137904
40,8,M2,687.668,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,90,M2,547.124,0,2,1,1,6,0,720,0.675,0.45,0.137904
49,68,M2,320.555,0,2,1,0,3,0,720,0.675,0.45,0.137904
58,68,M2,514.441,0,2,1,0,0,0,720,0.675,0.45,0.137904
66,41,M2,507.658,1,2,1,0,0,0,720,0.675,0.45,0.137904
42,32,M1,324.01,2,2,1,0,1,1,720,0.675,0.45,0.137904
21,18,M2,438.714,0,2,1,1,6,0,720,0.675,0.45,0.137904
9,33,M2,263.421,0,2,1,1,4,0,720,0.675,0.45,0.137904
35,39,M2,282.734,0,2,1,0,4,0,720,0.675,0.45,0.137904
33,50,M2,552.897,1,2,1,0,3,0,720,0.675,0.45,0.137904
47,29,M2,398.353,0,2,1,1,6,0,720,0.675,0.45,0.137904
61,90,M2,598.701,0,2,1,1,0,0,720,0.675,0.45,0.137904
16,25,M2,395.565,0,2,1,1,4,0,720,0.675,0.45,0.137904
68,39,M2,618.347,0,2,1,0,6,0,720,0.675,0.45,0.137904
97,54,M2,627.032,0,2,1,1,2,0,720,0.675,0.45,0.137904
58,65,M1,443.562,2,2,1,0,6,3,720,0.675,0.45,0.137904
6,31,M2,353.953,0,2,1,1,5,0,720,0.675,0.45,0.137904
75,6,M2,536.433,0,2,1,1,3,0,720,0.675,0.45,0.137904
51,70,M2,447.692,0,2,1,1,0,0,720,0.675,0.45,0.137904
24,29,M2,374.614,0,2,1,1,1,0,720,0.675,0.45,0.137904
31,53,M1,522.263,2,2,1,0,2,3.5,720,0.675,0.45,0.137904
47,68,M2,367.643,0,2,1,0,6,0,720,0.675,0.45,0.137904
82,11,M2,650.9,0,2,1,1,3,0,720,0.675,0.45,0.137904
84,10,M2,253.574,0,2,1,1,6,0,720,0.675,0.45,0.137904
31,38,M2,336.213,0,2,1,0,6,0,720,0.675,0.45,0.137904
69,44,M2,656.83,0,2,1,1,4,0,720,0.675,0.45,0.137904
83,44,M2,290.286,0,2,1,1,1,0,720,0.675,0.45,0.137904
32,34,M2,708.574,0,2,1,1,5,0,720,0.675,0.45,0.137904
73,93,M2,311.37,0,2,1,1,0,0,720,0.675,0.45,0.137904
66,63,M2,684.331,0,2,1,0,2,0,720,0.675,0.45,0.137904
54,28,M2,708.785,0,2,1,1,0,0,720,0.675,0.45,0.137904
96,89,M2,319.076,0,2,1,1,4,0,720,0.675,0.45,0.137904
59,31,M2,336.63,0,2,1,1,5,0,720,0.675,0.45,0.137904
58,1,M2,310.364,0,2,1,1,3,0,720,0.675,0.45,0.137904
78,73,M2,323.937,0,2,1,1,1,0,720,0.675,0.45,0.137904
33,62,M2,652.458,0,2,1,0,2,0,720,0.675,0.45,0.137904
34,47,M2,332.535,1,2,1,0,2,0,720,0.675,0.45,0.137904
16,1,M2,345.654,0,2,1,1,0,0,720,0.675,0.45,0.137904
29,47,M2,310.116,0,2,1,0,3,0,720,0.675,0.45,0.137904
84,25,M2,342.777,0,2,1,1,6,0,720,0.675,0.45,0.137904
82,96,M2,616.77,0,2,1,1,0,0,720,0.675,0.45,0.137904
