location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
52,51,5,quiescent,156,24,14,24.5,8,4,14,192,1,0.0226869,0.203905,0.235381,0.269906,0.883151,7.15,44,0.340966,0.42093,0.298254,1
47,50,8,quiescent,117.5,43,14,35,8,3,14,192,1,0.0226533,0.203494,0.232677,0.269179,0.88288,7.15,44,0.340542,0.420691,0.297749,1
49,52,17,quiescent,83,22,14,38,8,2,14,192,1,0.022676,0.203801,0.234497,0.26967,0.883062,7.15,44,0.340842,0.420861,0.298119,1
47,51,20,quiescent,133.5,27,14,62,8,3,14,192,1,0.0226579,0.203573,0.233048,0.269277,0.882917,7.15,44,0.340594,0.42072,0.29778,1
51,50,22,quiescent,77,10,14,19.5,8,1,14,192,1,0.0226737,0.20373,0.234304,0.269619,0.883043,7.15,44,0.340801,0.420837,0.298054,1
46,53,25,quiescent,131,22,14,80.5,8,2,14,192,1,0.0226655,0.2037,0.233659,0.269443,0.882978,7.15,44,0.340707,0.420785,0.297971,1
46,49,26,quiescent,105,18,14,105,8,0,14,192,1,0.0226467,0.203388,0.232146,0.269036,0.882827,7.15,44,0.340463,0.420647,0.297665,1
46,52,30,quiescent,112.5,33,14,14.5,8,3,14,192,1,0.0226597,0.203612,0.23319,0.269316,0.882931,7.15,44,0.340626,0.420739,0.297866,1
51,48,31,quiescent,103,14,14,67.5,8,2,14,192,1,0.0226706,0.203608,0.233946,0.269553,0.883006,7.15,44,0.340787,0.42083,0.298038,1
47,49,32,quiescent,89,34,14,46.5,8,1,14,192,1,0.0226501,0.203427,0.232404,0.269108,0.882853,7.15,44,0.340498,0.420666,0.297662,1
51,49,33,quiescent,45.5,43,14,20.5,8,1,14,192,1,0.0226701,0.203654,0.233983,0.269542,0.883011,7.15,44,0.340764,0.420816,0.298007,1
