location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
50,49,0,quiescent,184.772,31,42,44.5,12,3,42,192,1,0.150626,0.206477,0.226221,0.846934,0.845286,7.15,44,0.542666,0.602117,0.678297,0
48,50,1,quiescent,109,26,14,26,8,5,14,192,1,0.15062,0.206441,0.225928,0.846875,0.845245,7.15,44,0.542657,0.602107,0.678283,0
48,49,3,quiescent,89,34,14,16,8,4,14,192,1,0.150619,0.20644,0.22585,0.84686,0.845234,7.15,44,0.542654,0.602103,0.678278,0
51,50,4,quiescent,66.5,37,14,23,8,3,14,192,1,0.150633,0.206523,0.226683,0.847025,0.84535,7.15,44,0.542683,0.602135,0.678323,0
50,48,4,quiescent,65,34,14,17,8,3,14,192,1,0.150626,0.206485,0.22622,0.846934,0.845286,7.15,44,0.542666,0.602116,0.678295,0
49,50,5,quiescent,44.5,41,14,15.5,8,2,14,192,1,0.150623,0.206455,0.226077,0.846905,0.845266,7.15,44,0.542662,0.602112,0.678291,0
47,50,6,quiescent,63.5,31,14,16,8,3,14,192,1,0.15062,0.206439,0.22588,0.846865,0.845238,7.15,44,0.542655,0.602104,0.67828,0
52,49,7,quiescent,69,42,14,24,8,3,14,192,1,0.150639,0.206567,0.227003,0.847088,0.845395,7.15,44,0.542693,0.602146,0.678338,0
49,47,8,quiescent,61.5,27,14,16.5,8,3,14,192,1,0.150624,0.206487,0.226119,0.846914,0.845272,7.15,44,0.542662,0.602113,0.678289,0
49,51,9,quiescent,62.5,29,14,22,8,2,14,192,1,0.150627,0.206473,0.226282,0.846946,0.845294,7.15,44,0.542669,0.602121,0.678304,0
50,51,10,quiescent,46,44,14,15,8,2,14,192,1,0.150631,0.206502,0.226541,0.846997,0.84533,7.15,44,0.542678,0.602131,0.678317,0
47,49,11,quiescent,47,46,14,17,8,2,14,192,1,0.150619,0.206443,0.225822,0.846854,0.84523,7.15,44,0.542652,0.602102,0.678277,0
