location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
50,47,M2,618.78,1,2,1,0,1,0,720,0.675,0.45,0.137904
50,65,M2,683.564,1,2,1,0,4,0,720,0.675,0.45,0.137904
50,71,M2,701.947,0,2,1,0,0,0,720,0.675,0.45,0.137904
48,61,M2,660.258,1,2,1,0,5,0,720,0.675,0.45,0.137904
15,85,M2,718.441,0,2,1,1,6,0,720,0.675,0.45,0.137904
34,57,M2,677.995,0,2,1,0,4,0,720,0.675,0.45,0.137904
72,53,M2,701.909,1,2,1,0,6,0,720,0.675,0.45,0.137904
64,39,M2,667.238,0,2,1,0,5,0,720,0.675,0.45,0.137904
40,71,M2,719.489,0,2,1,1,5,0,720,0.675,0.45,0.137904
60,41,M1,708.001,2,2,1,0,5,7,720,0.675,0.45,0.137904
50,73,M2,651,0,2,1,0,4,0,720,0.675,0.45,0.137904
3,14,M2,681.118,1,2,1,1,6,0,720,0.675,0.45,0.137904
56,61,M2,649.654,1,2,1,0,3,0,720,0.675,0.45,0.137904
51,59,M2,702.679,0,2,1,0,1,0,720,0.675,0.45,0.137904
38,35,M1,655.071,2,2,1,0,6,7.5,720,0.675,0.45,0.137904
59,68,M1,682.223,2,2,1,1,3,7.5,720,0.675,0.45,0.137904
33,49,M1,648.328,2,2,1,0,4,9.5,720,0.675,0.45,0.137904
62,42,M2,622.959,0,2,1,0,6,0,720,0.675,0.45,0.137904
32,42,M2,707.577,1,2,1,0,2,0,720,0.675,0.45,0.137904
39,35,M2,719.044,0,2,1,0,1,0,720,0.675,0.45,0.137904
37,74,M2,593.114,1,2,1,1,6,0,720,0.675,0.45,0.137904
53,55,M2,687.124,0,2,1,0,2,0,720,0.675,0.45,0.137904
52,71,M2,628.971,0,2,1,0,6,0,720,0.675,0.45,0.137904
52,54,M2,629.591,1,2,1,0,4,0,720,0.675,0.45,0.137904
26,47,M2,704.45,0,2,1,0,4,0,720,0.675,0.45,0.137904
94,85,M2,601.857,0,2,1,1,2,0,720,0.675,0.45,0.137904
35,42,M1,650.927,2,2,1,0,5,5.5,720,0.675,0.45,0.137904
11,76,M2,613.735,0,2,1,1,3,0,720,0.675,0.45,0.137904
39,72,M2,666.183,1,2,1,1,2,0,720,0.675,0.45,0.137904
54,73,M1,711.475,0,2,1,1,4,0,720,0.675,0.45,0.137904
39,40,M1,718.598,2,2,1,0,4,2,720,0.675,0.45,0.137904
42,72,M1,620.742,2,2,1,0,4,3.5,720,0.675,0.45,0.137904
38,42,M1,556.647,2,2,1,0,4,10,720,0.675,0.45,0.137904
64,89,M2,639.707,0,2,1,1,5,0,720,0.675,0.45,0.137904
61,67,M2,676.32,0,2,1,0,1,0,720,0.675,0.45,0.137904
36,61,M2,711.209,0,2,1,0,4,0,720,0.675,0.45,0.137904
36,39,M2,581.098,0,2,1,0,6,0,720,0.675,0.45,0.137904
54,58,M2,696.008,0,2,1,0,6,0,720,0.675,0.45,0.137904
33,35,M2,700.509,0,2,1,0,5,0,720,0.675,0.45,0.137904
83,19,M2,561.779,0,2,1,1,3,0,720,0.675,0.45,0.137904
60,68,M2,537.984,0,2,1,1,4,0,720,0.675,0.45,0.137904
69,62,M2,515.636,0,2,1,0,6,0,720,0.675,0.45,0.137904
40,69,M2,696.898,1,2,1,0,2,0,720,0.675,0.45,0.137904
39,70,M2,571.996,1,2,1,0,2,0,720,0.675,0.45,0.137904
31,61,M1,557.053,2,2,1,0,2,0.5,720,0.675,0.45,0.137904
51,34,M2,708.229,0,2,1,0,3,0,720,0.675,0.45,0.137904
54,61,M2,651.85,2,2,1,0,0,10,720,0.675,0.45,0.137904
82,30,M2,653.353,0,2,1,1,3,0,720,0.675,0.45,0.137904
38,52,M2,387.636,0,2,1,0,6,0,720,0.675,0.45,0.137904
27,38,M2,634.423,0,2,1,0,5,0,720,0.675,0.45,0.137904
55,38,M2,622.969,1,2,1,0,4,0,720,0.675,0.45,0.137904
59,63,M2,638.464,0,2,1,0,4,0,720,0.675,0.45,0.137904
61,65,M2,533.785,1,2,1,0,1,0,720,0.675,0.45,0.137904
60,66,M2,651.991,0,2,1,1,1,0,720,0.675,0.45,0.137904
58,34,M2,709.414,1,2,1,1,0,0,720,0.675,0.45,0.137904
32,57,M2,402.368,0,2,1,0,5,0,720,0.675,0.45,0.137904
14,7,M2,648.708,0,2,1,1,6,0,720,0.675,0.45,0.137904
41,39,M2,570.105,2,2,1,0,0,10,720,0.675,0.45,0.137904
54,57,M1,691.459,2,2,1,0,6,1.5,720,0.675,0.45,0.137904
69,65,M2,456.342,1,2,1,1,5,0,720,0.675,0.45,0.137904
61,60,M2,681.306,1,2,1,0,4,0,720,0.675,0.45,0.137904
57,66,M1,690.317,2,2,1,0,4,8,720,0.675,0.45,0.137904
68,62,M2,717.422,0,2,1,1,6,0,720,0.675,0.45,0.137904
49,55,M2,397.741,1,2,1,0,1,0,720,0.675,0.45,0.137904
42,27,M2,687.864,0,2,1,0,4,0,720,0.675,0.45,0.137904
53,56,M2,398.595,0,2,1,0,6,0,720,0.675,0.45,0.137904
60,38,M2,625.444,0,2,1,1,6,0,720,0.675,0.45,0.137904
56,52,M2,433.088,1,2,1,0,1,0,720,0.675,0.45,0.137904
33,15,M2,503.72,0,2,1,1,4,0,720,0.675,0.45,0.137904
41,28,M1,369.74,2,2,1,0,1,10.5,720,0.675,0.45,0.137904
70,85,M2,556.981,0,2,1,1,3,0,720,0.675,0.45,0.137904
14,29,M2,693.139,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,66,M2,679.119,0,2,1,1,5,0,720,0.675,0.45,0.137904
31,56,M2,569.202,1,2,1,1,3,0,720,0.675,0.45,0.137904
37,64,M2,608.334,1,2,1,0,2,0,720,0.675,0.45,0.137904
65,49,M1,685.768,2,2,1,0,2,5,720,0.675,0.45,0.137904
47,66,M2,615.131,2,2,1,0,0,3.5,720,0.675,0.45,0.137904
89,19,M2,700.806,0,2,1,1,4,0,720,0.675,0.45,0.137904
64,40,M2,691.245,0,2,1,0,6,0,720,0.675,0.45,0.137904
66,40,M2,676.801,0,2,1,0,3,0,720,0.675,0.45,0.137904
45,78,M2,473.368,0,2,1,1,5,0,720,0.675,0.45,0.137904
55,53,M1,455.306,2,2,1,0,3,10.5,720,0.675,0.45,0.137904
70,39,M2,651.306,0,2,1,0,5,0,720,0.675,0.45,0.137904
64,57,M2,448.004,1,2,1,0,6,0,720,0.675,0.45,0.137904
33,58,M2,683.514,0,2,1,0,0,0,720,0.675,0.45,0.137904
64,55,M1,552.48,2,2,1,0,3,8.5,720,0.675,0.45,0.137904
96,65,M2,506.283,0,2,1,1,4,0,720,0.675,0.45,0.137904
58,10,M2,587.249,0,2,1,1,0,0,720,0.675,0.45,0.137904
35,58,M2,538.829,0,2,1,0,4,0,720,0.675,0.45,0.137904
33,64,M2,687.36,1,2,1,0,1,0,720,0.675,0.45,0.137904
31,55,M2,616.543,0,2,1,1,3,0,720,0.675,0.45,0.137904
56,35,M2,581.529,0,2,1,0,0,0,720,0.675,0.45,0.137904
32,65,M2,467.878,1,2,1,0,0,0,720,0.675,0.45,0.137904
1,10,M2,616.533,0,2,1,1,6,0,720,0.675,0.45,0.137904
33,62,M2,661.609,0,2,1,0,4,0,720,0.675,0.45,0.137904
58,37,M2,505.234,0,2,1,1,3,0,720,0.675,0.45,0.137904
62,44,M1,522.316,2,2,1,0,5,10.5,720,0.675,0.45,0.137904
52,58,M2,714.045,1,2,1,0,3,0,720,0.675,0.45,0.137904
31,47,M2,468.613,0,2,1,0,4,0,720,0.675,0.45,0.137904
73,66,M2,652.152,0,2,1,1,3,0,720,0.675,0.45,0.137904
33,48,M2,487.772,0,2,1,0,4,0,720,0.675,0.45,0.137904
96,84,M2,429.58,0,2,1,1,0,0,720,0.675,0.45,0.137904
52,56,M1,486.775,2,2,1,0,3,11,720,0.675,0.45,0.137904
24,17,M2,503.135,1,2,1,1,6,0,720,0.675,0.45,0.137904
36,55,M2,388.993,0,2,1,0,0,0,720,0.675,0.45,0.137904
34,48,M2,421.647,1,2,1,0,4,0,720,0.675,0.45,0.137904
63,72,M2,446.633,0,2,1,1,3,0,720,0.675,0.45,0.137904
26,69,M2,464.83,1,2,1,0,0,0,720,0.675,0.45,0.137904
78,82,M2,440.253,0,2,1,1,5,0,720,0.675,0.45,0.137904
54,41,M2,642.667,1,2,1,0,6,0,720,0.675,0.45,0.137904
93,42,M2,444.187,0,2,1,1,0,0,720,0.675,0.45,0.137904
38,27,M1,601.557,2,2,1,0,6,9,720,0.675,0.45,0.137904
83,20,M2,676.646,0,2,1,1,4,0,720,0.675,0.45,0.137904
